date,temp_mean,precip_sum,humidity_mean,wind_max,temp_f
2018-01-01,-11.0,0.0,46,21.6,12.2
2018-01-02,-7.8,0.0,49,19.9,17.96
2018-01-03,-6.8,0.0,53,12.7,19.76
2018-01-04,-5.0,20.1,68,52.4,23.0
2018-01-05,-12.0,0.0,57,34.6,10.399999999999999
2018-01-06,-14.4,0.0,57,27.6,6.080000000000002
2018-01-07,-14.7,0.0,66,21.0,5.540000000000003
2018-01-08,-6.0,1.0,74,21.3,21.2
2018-01-09,-0.2,0.0,79,20.6,31.64
2018-01-10,-3.8,0.0,83,14.0,25.16
2018-01-11,4.5,0.0,92,14.2,40.1
2018-01-12,11.8,28.9,97,35.3,53.24
2018-01-13,2.6,8.8,68,29.7,36.68
2018-01-14,-7.4,0.0,40,23.8,18.68
2018-01-15,-5.4,0.0,56,20.2,22.28
2018-01-16,-1.0,0.0,79,12.7,30.2
2018-01-17,-0.5,6.5,82,21.0,31.1
2018-01-18,-4.6,0.0,53,25.5,23.72
2018-01-19,-1.5,0.0,57,18.1,29.3
2018-01-20,3.9,0.0,58,25.7,39.02
2018-01-21,4.3,0.0,74,10.8,39.74
2018-01-22,6.3,0.5,88,12.7,43.34
2018-01-23,9.0,7.5,87,35.1,48.2
2018-01-24,2.6,0.0,55,26.4,36.68
2018-01-25,-2.8,0.0,44,24.5,26.96
2018-01-26,-2.5,0.0,54,13.2,27.5
2018-01-27,4.9,0.0,70,27.0,40.82
2018-01-28,8.5,4.1,85,24.0,47.3
2018-01-29,4.1,0.5,69,23.2,39.38
2018-01-30,-0.1,2.0,67,27.3,31.82
2018-01-31,-3.9,0.0,50,25.7,24.98
2018-02-01,2.8,0.1,64,16.7,37.04
2018-02-02,-2.3,5.4,57,33.0,27.86
2018-02-03,-4.9,0.0,41,21.7,23.18
2018-02-04,1.8,17.3,73,19.5,35.24
2018-02-05,-0.7,1.5,67,32.7,30.74
2018-02-06,-2.0,0.0,62,10.2,28.4
2018-02-07,0.8,25.0,85,26.6,33.44
2018-02-08,-2.1,0.1,58,25.0,28.22
2018-02-09,-1.9,0.1,64,20.1,28.580000000000002
2018-02-10,5.4,10.7,91,14.2,41.72
2018-02-11,9.2,34.3,99,30.1,48.56
2018-02-12,6.6,0.5,67,25.0,43.879999999999995
2018-02-13,-1.4,0.0,60,20.1,29.48
2018-02-14,4.5,0.8,75,21.9,40.1
2018-02-15,9.6,7.3,90,20.3,49.28
2018-02-16,9.7,9.7,86,28.0,49.46
2018-02-17,0.4,9.7,66,25.3,32.72
2018-02-18,1.7,2.5,76,21.9,35.06
2018-02-19,4.2,2.3,84,17.6,39.56
2018-02-20,12.3,0.3,90,21.4,54.14
2018-02-21,16.8,11.4,87,28.6,62.24
2018-02-22,6.1,7.4,82,21.5,42.980000000000004
2018-02-23,3.1,7.0,91,15.3,37.58
2018-02-24,7.7,3.2,86,18.7,45.86
2018-02-25,5.7,19.1,95,24.1,42.260000000000005
2018-02-26,7.0,0.0,71,16.6,44.6
2018-02-27,5.8,0.0,57,15.7,42.44
2018-02-28,8.0,0.0,59,20.3,46.4
2018-03-01,9.7,5.5,74,17.3,49.46
2018-03-02,3.5,49.7,88,51.0,38.3
2018-03-03,4.8,0.0,59,37.0,40.64
2018-03-04,4.0,0.0,57,30.1,39.2
2018-03-05,2.1,0.0,59,30.8,35.78
2018-03-06,2.5,0.2,72,18.5,36.5
2018-03-07,1.5,34.2,93,41.2,34.7
2018-03-08,1.6,0.0,71,24.4,34.88
2018-03-09,1.0,0.0,64,31.2,33.8
2018-03-10,1.4,0.0,57,29.5,34.52
2018-03-11,1.5,0.0,62,20.2,34.7
2018-03-12,1.9,1.1,73,19.1,35.42
2018-03-13,2.2,8.2,72,32.4,35.96
2018-03-14,0.7,1.4,64,29.1,33.26
2018-03-15,2.5,0.0,56,29.1,36.5
2018-03-16,0.5,0.0,57,37.8,32.9
2018-03-17,2.0,0.0,49,28.3,35.6
2018-03-18,0.6,0.0,46,23.6,33.08
2018-03-19,2.0,0.0,54,16.1,35.6
2018-03-20,0.0,0.5,56,19.6,32.0
2018-03-21,1.2,24.1,70,27.7,34.16
2018-03-22,2.5,3.1,70,26.7,36.5
2018-03-23,2.3,0.0,67,19.6,36.14
2018-03-24,3.7,0.0,52,21.4,38.660000000000004
2018-03-25,2.8,0.4,65,24.8,37.04
2018-03-26,2.3,0.0,67,19.3,36.14
2018-03-27,2.0,0.2,70,10.9,35.6
2018-03-28,5.6,3.7,87,12.4,42.08
2018-03-29,8.8,1.5,91,14.5,47.84
2018-03-30,11.6,3.9,82,25.1,52.879999999999995
2018-03-31,6.2,0.0,49,27.8,43.16
2018-04-01,8.8,0.0,55,26.1,47.84
2018-04-02,1.8,12.9,76,18.1,35.24
2018-04-03,2.7,8.5,94,16.3,36.86
2018-04-04,9.2,1.4,73,40.0,48.56
2018-04-05,3.3,0.0,40,33.8,37.94
2018-04-06,6.0,2.1,69,30.6,42.8
2018-04-07,5.9,0.1,49,23.0,42.620000000000005
2018-04-08,2.7,0.0,46,26.5,36.86
2018-04-09,2.4,0.0,56,23.7,36.32
2018-04-10,5.0,1.4,65,18.4,41.0
2018-04-11,4.3,0.1,64,17.9,39.74
2018-04-12,9.3,0.3,66,26.9,48.74
2018-04-13,18.8,0.3,52,27.1,65.84
2018-04-14,17.3,0.0,66,25.9,63.14
2018-04-15,5.2,5.9,76,31.7,41.36
2018-04-16,9.3,45.7,85,50.2,48.74
2018-04-17,5.8,0.2,64,28.4,42.44
2018-04-18,6.3,0.0,57,23.8,43.34
2018-04-19,6.4,6.9,76,26.2,43.519999999999996
2018-04-20,5.4,0.0,52,27.3,41.72
2018-04-21,8.3,0.0,51,19.7,46.94
2018-04-22,9.7,0.0,48,20.9,49.46
2018-04-23,9.3,0.0,65,19.5,48.74
2018-04-24,10.8,2.2,68,23.7,51.44
2018-04-25,12.3,20.2,96,21.4,54.14
2018-04-26,14.7,1.2,70,24.2,58.459999999999994
2018-04-27,10.9,4.0,85,18.8,51.620000000000005
2018-04-28,11.2,3.0,89,22.7,52.16
2018-04-29,10.6,1.7,68,28.9,51.08
2018-04-30,8.2,1.0,64,31.9,46.76
2018-05-01,14.9,0.0,56,18.7,58.82
2018-05-02,20.8,0.0,46,23.7,69.44
2018-05-03,22.9,0.0,59,26.0,73.22
2018-05-04,22.7,0.0,74,30.1,72.86
2018-05-05,18.6,0.0,49,26.1,65.48
2018-05-06,15.4,0.8,72,23.2,59.72
2018-05-07,15.8,0.1,76,14.3,60.440000000000005
2018-05-08,14.3,0.0,80,15.1,57.74
2018-05-09,14.7,0.0,78,18.8,58.459999999999994
2018-05-10,14.2,2.0,85,22.9,57.56
2018-05-11,17.5,0.0,59,18.4,63.5
2018-05-12,13.6,8.2,76,19.3,56.48
2018-05-13,11.7,6.3,88,18.0,53.06
2018-05-14,14.3,5.1,88,16.1,57.74
2018-05-15,21.7,2.9,83,26.8,71.06
2018-05-16,15.9,11.3,90,17.4,60.62
2018-05-17,16.1,16.1,93,14.0,60.980000000000004
2018-05-18,15.7,0.0,68,28.0,60.26
2018-05-19,12.4,16.7,88,20.6,54.32
2018-05-20,21.2,2.6,84,27.2,70.16
2018-05-21,18.0,0.0,71,15.5,64.4
2018-05-22,15.4,4.6,82,16.6,59.72
2018-05-23,19.5,4.7,76,17.5,67.1
2018-05-24,20.8,0.0,57,18.1,69.44
2018-05-25,22.7,0.0,59,22.0,72.86
2018-05-26,23.9,3.9,77,20.0,75.02
2018-05-27,16.7,16.9,91,29.2,62.059999999999995
2018-05-28,15.5,0.0,83,17.4,59.9
2018-05-29,22.4,0.0,81,13.7,72.32
2018-05-30,18.7,0.0,88,19.6,65.66
2018-05-31,18.1,3.5,89,16.1,64.58
2018-06-01,20.5,7.6,93,12.1,68.9
2018-06-02,23.4,2.4,86,18.4,74.12
2018-06-03,16.1,10.1,78,24.5,60.980000000000004
2018-06-04,15.4,6.9,84,18.6,59.72
2018-06-05,18.1,0.4,70,26.3,64.58
2018-06-06,16.7,0.6,73,16.3,62.059999999999995
2018-06-07,16.6,0.2,80,19.1,61.88
2018-06-08,20.4,0.5,75,15.0,68.72
2018-06-09,21.4,0.5,71,14.1,70.52
2018-06-10,17.7,3.7,75,14.3,63.86
2018-06-11,16.6,1.7,73,19.0,61.88
2018-06-12,16.8,0.0,73,26.8,62.24
2018-06-13,20.0,2.0,85,20.5,68.0
2018-06-14,22.8,0.1,61,26.4,73.04
2018-06-15,19.6,0.0,64,22.0,67.28
2018-06-16,21.3,0.0,64,12.3,70.34
2018-06-17,23.1,0.0,65,18.7,73.58
2018-06-18,26.2,0.5,70,21.2,79.16
2018-06-19,26.4,4.0,68,21.8,79.52
2018-06-20,22.2,0.4,68,19.5,71.96
2018-06-21,23.1,9.0,74,17.0,73.58
2018-06-22,20.3,0.0,80,20.2,68.54
2018-06-23,18.7,11.0,86,18.3,65.66
2018-06-24,22.6,4.3,83,23.9,72.68
2018-06-25,22.2,0.0,69,24.9,71.96
2018-06-26,19.7,0.0,71,22.0,67.46
2018-06-27,20.1,6.5,80,25.8,68.18
2018-06-28,23.4,17.6,88,21.9,74.12
2018-06-29,25.5,0.0,70,15.8,77.9
2018-06-30,25.5,0.0,65,18.2,77.9
2018-07-01,27.6,0.0,73,13.6,81.68
2018-07-02,26.7,0.0,78,21.2,80.06
2018-07-03,26.7,0.6,85,13.0,80.06
2018-07-04,25.7,10.4,87,11.2,78.25999999999999
2018-07-05,26.1,0.1,87,22.0,78.98
2018-07-06,24.8,6.1,79,21.2,76.64
2018-07-07,20.2,0.0,57,21.5,68.36
2018-07-08,20.9,0.0,66,17.8,69.62
2018-07-09,22.7,0.0,71,23.9,72.86
2018-07-10,25.6,0.9,65,25.4,78.08
2018-07-11,24.5,1.4,73,18.7,76.1
2018-07-12,23.1,0.0,69,18.0,73.58
2018-07-13,22.9,0.0,69,22.3,73.22
2018-07-14,25.5,0.0,57,28.5,77.9
2018-07-15,24.6,10.7,76,15.5,76.28
2018-07-16,26.7,0.4,79,24.2,80.06
2018-07-17,25.5,37.9,87,20.5,77.9
2018-07-18,24.2,0.0,63,20.5,75.56
2018-07-19,22.2,0.0,60,15.5,71.96
2018-07-20,21.9,0.0,73,21.5,71.42
2018-07-21,21.2,11.6,73,29.2,70.16
2018-07-22,23.7,23.0,88,34.4,74.66
2018-07-23,23.9,15.1,92,27.4,75.02
2018-07-24,24.5,8.2,89,33.0,76.1
2018-07-25,23.2,25.6,95,24.5,73.75999999999999
2018-07-26,24.8,1.8,83,13.1,76.64
2018-07-27,25.2,4.0,85,19.9,77.36
2018-07-28,24.5,2.5,84,18.7,76.1
2018-07-29,23.9,0.0,69,14.6,75.02
2018-07-30,22.9,0.9,78,13.2,73.22
2018-07-31,22.8,0.0,79,16.4,73.04
2018-08-01,25.3,7.0,86,23.7,77.54
2018-08-02,25.8,5.9,85,19.9,78.44
2018-08-03,25.3,5.1,87,24.5,77.54
2018-08-04,25.1,29.6,83,15.8,77.18
2018-08-05,26.6,0.0,77,17.7,79.88
2018-08-06,27.7,0.0,75,14.5,81.86
2018-08-07,26.7,1.7,85,24.3,80.06
2018-08-08,26.2,7.1,86,15.0,79.16
2018-08-09,26.5,1.7,77,15.8,79.7
2018-08-10,25.4,0.2,73,15.7,77.72
2018-08-11,24.1,12.5,89,13.7,75.38
2018-08-12,23.6,9.9,89,16.5,74.48
2018-08-13,22.6,18.0,95,17.3,72.68
2018-08-14,22.9,3.4,87,23.7,73.22
2018-08-15,25.4,0.1,73,18.2,77.72
2018-08-16,26.9,0.0,71,15.2,80.42
2018-08-17,26.0,5.9,84,19.3,78.8
2018-08-18,25.0,13.2,87,20.9,77.0
2018-08-19,21.0,20.3,90,20.6,69.8
2018-08-20,20.9,1.2,84,18.2,69.62
2018-08-21,21.5,3.2,84,21.7,70.7
2018-08-22,24.3,11.3,79,19.2,75.74000000000001
2018-08-23,21.4,1.0,65,18.6,70.52
2018-08-24,21.4,0.0,72,18.0,70.52
2018-08-25,21.4,0.0,74,15.3,70.52
2018-08-26,23.0,0.2,78,17.7,73.4
2018-08-27,25.5,0.0,81,16.5,77.9
2018-08-28,28.5,0.0,74,16.8,83.3
2018-08-29,28.9,0.0,72,20.9,84.02
2018-08-30,27.6,0.2,72,16.3,81.68
2018-08-31,22.8,2.2,80,24.6,73.04
2018-09-01,21.6,2.2,80,19.8,70.88
2018-09-02,22.6,0.0,84,19.2,72.68
2018-09-03,26.1,0.2,87,16.6,78.98
2018-09-04,27.6,0.0,77,10.2,81.68
2018-09-05,26.3,0.0,85,18.9,79.34
2018-09-06,26.9,2.6,83,19.3,80.42
2018-09-07,23.2,6.0,90,16.2,73.75999999999999
2018-09-08,19.2,7.4,84,19.3,66.56
2018-09-09,15.3,20.1,88,21.5,59.540000000000006
2018-09-10,16.0,26.6,93,25.9,60.8
2018-09-11,21.0,11.1,92,17.7,69.8
2018-09-12,22.9,13.4,94,12.6,73.22
2018-09-13,22.5,38.5,90,17.2,72.5
2018-09-14,21.6,1.0,85,15.0,70.88
2018-09-15,21.4,0.2,87,10.0,70.52
2018-09-16,21.7,0.0,88,14.7,71.06
2018-09-17,22.1,4.3,91,19.4,71.78
2018-09-18,22.8,27.7,93,21.6,73.04
2018-09-19,22.4,0.8,82,17.3,72.32
2018-09-20,19.5,3.5,82,12.6,67.1
2018-09-21,20.9,0.0,77,24.9,69.62
2018-09-22,20.3,4.2,72,24.9,68.54
2018-09-23,16.7,3.1,81,13.4,62.059999999999995
2018-09-24,17.0,0.2,76,25.3,62.6
2018-09-25,18.7,52.9,94,30.7,65.66
2018-09-26,23.2,10.3,91,23.0,73.75999999999999
2018-09-27,18.6,4.0,73,23.7,65.48
2018-09-28,16.7,37.6,86,32.8,62.059999999999995
2018-09-29,17.7,0.0,77,14.6,63.86
2018-09-30,16.3,0.0,77,14.1,61.34
2018-10-01,19.9,0.4,85,20.7,67.82
2018-10-02,20.6,27.4,90,16.6,69.08
2018-10-03,20.7,0.1,81,19.9,69.25999999999999
2018-10-04,20.5,1.7,88,19.0,68.9
2018-10-05,17.6,0.0,78,21.6,63.68
2018-10-06,18.8,0.7,84,19.2,65.84
2018-10-07,22.3,0.1,86,17.6,72.14
2018-10-08,19.1,0.7,89,19.8,66.38
2018-10-09,21.7,0.6,89,16.1,71.06
2018-10-10,22.2,0.6,92,16.7,71.96
2018-10-11,22.4,11.8,94,29.8,72.32
2018-10-12,15.7,7.2,69,34.7,60.26
2018-10-13,11.0,3.7,68,22.1,51.8
2018-10-14,10.8,0.0,72,14.6,51.44
2018-10-15,15.6,6.1,88,28.7,60.08
2018-10-16,11.7,1.7,58,28.7,53.06
2018-10-17,11.4,0.1,61,31.7,52.52
2018-10-18,7.3,0.0,52,24.7,45.14
2018-10-19,9.4,0.4,67,21.0,48.92
2018-10-20,13.3,2.6,77,23.9,55.94
2018-10-21,7.4,0.4,62,34.6,45.32
2018-10-22,7.0,0.0,65,17.9,44.6
2018-10-23,11.4,0.2,68,20.2,52.52
2018-10-24,9.2,0.0,59,31.0,48.56
2018-10-25,6.8,0.0,65,19.6,44.239999999999995
2018-10-26,6.6,0.0,69,17.8,43.879999999999995
2018-10-27,8.9,44.8,93,37.7,48.02
2018-10-28,9.4,1.3,82,18.0,48.92
2018-10-29,10.6,2.1,78,24.5,51.08
2018-10-30,8.0,0.0,65,21.9,46.4
2018-10-31,11.2,0.0,74,22.3,52.16
2018-11-01,15.5,0.1,82,24.1,59.9
2018-11-02,19.2,9.0,85,30.8,66.56
2018-11-03,13.9,8.1,73,36.4,57.02
2018-11-04,7.9,0.0,69,10.5,46.22
2018-11-05,10.1,5.9,86,22.1,50.18
2018-11-06,12.2,14.0,95,26.9,53.96
2018-11-07,12.9,0.0,67,23.4,55.22
2018-11-08,9.3,0.0,59,18.3,48.74
2018-11-09,7.5,14.5,80,21.9,45.5
2018-11-10,6.3,1.1,64,34.1,43.34
2018-11-11,3.3,0.0,63,17.4,37.94
2018-11-12,4.7,0.1,75,12.0,40.46
2018-11-13,8.0,19.2,84,26.7,46.4
2018-11-14,2.9,0.0,45,28.0,37.22
2018-11-15,0.6,21.1,67,35.0,33.08
2018-11-16,4.1,11.0,83,42.9,39.38
2018-11-17,4.4,0.0,74,21.0,39.92
2018-11-18,3.9,1.1,71,12.5,39.02
2018-11-19,6.7,0.0,85,10.3,44.06
2018-11-20,5.7,0.6,79,24.2,42.260000000000005
2018-11-21,3.2,0.2,65,30.2,37.76
2018-11-22,-5.0,0.0,42,28.4,23.0
2018-11-23,-4.7,0.0,46,19.3,23.54
2018-11-24,3.1,9.1,79,20.1,37.58
2018-11-25,8.2,28.1,84,35.0,46.76
2018-11-26,7.4,27.8,88,34.8,45.32
2018-11-27,5.0,1.6,71,32.8,41.0
2018-11-28,3.4,0.0,58,37.4,38.12
2018-11-29,4.5,0.0,60,31.7,40.1
2018-11-30,2.8,1.8,80,12.0,37.04
2018-12-01,3.4,2.8,84,10.8,38.12
2018-12-02,10.7,16.9,98,19.2,51.26
2018-12-03,10.4,0.0,75,26.8,50.72
2018-12-04,2.6,0.0,56,24.1,36.68
2018-12-05,-1.1,0.0,69,16.0,30.02
2018-12-06,0.5,0.0,62,22.5,32.9
2018-12-07,0.6,0.0,61,23.2,33.08
2018-12-08,-1.9,0.0,62,19.8,28.580000000000002
2018-12-09,-1.4,0.0,65,11.8,29.48
2018-12-10,-0.7,0.0,64,17.8,30.74
2018-12-11,-0.8,0.0,75,18.8,30.56
2018-12-12,1.3,0.0,65,17.1,34.34
2018-12-13,1.4,1.0,85,21.9,34.52
2018-12-14,6.3,1.1,91,17.3,43.34
2018-12-15,7.6,4.8,91,22.9,45.68
2018-12-16,4.1,21.3,89,30.2,39.38
2018-12-17,4.2,1.6,74,30.0,39.56
2018-12-18,0.1,0.0,52,29.3,32.18
2018-12-19,-0.6,0.0,65,14.5,30.92
2018-12-20,3.0,6.9,86,17.8,37.4
2018-12-21,12.2,43.2,96,38.0,53.96
2018-12-22,6.9,3.0,73,33.0,44.42
2018-12-23,3.0,0.0,63,22.5,37.4
2018-12-24,3.1,2.4,76,19.8,37.58
2018-12-25,1.4,0.0,63,19.8,34.52
2018-12-26,1.0,0.0,71,19.0,33.8
2018-12-27,2.0,0.0,74,15.3,35.6
2018-12-28,9.9,28.7,93,27.7,49.82
2018-12-29,8.8,0.1,73,27.2,47.84
2018-12-30,1.9,0.4,72,13.9,35.42
2018-12-31,3.3,19.1,91,26.3,37.94
